ID,O100C00,O100C01,O100C99,O101C00,O101C01,O101C99,O102C00,O102C01,O102C99,O103C00,O103C01,O103C99,O104C00,O104C01,O104C99,N100C00,N100C01,N100C99
Eng,Feeding,Threatening,. . .,Kicking,Cleaning up,. . .,Finding a four-leaf clover,Step on it,. . .,,,,,,,"Meow, Talk to her",Threatening,. . .
Kor,모이를 주기,위협하기,. . .,발로 차버리기,치우기,. . .,네 잎 클로버를 찾기,밟기,. . .,,,,,,,"야옹, 말 걸어보기",위협하기,. . .
Jpn,,,. . .,,,. . .,,,. . .,,,,,,,,,. . .
AnswerDescEng,Answer Feeding1/2/3,Answer Threatening1/2/3,Answer Imitating chirping1/2/3,Kicking/Kicking2/Kicking3,A/B/C,A/B/C,A/B/C,A/B/C,A/B/C,,,,,,,Talk1/Talk2/Talk3,Threatening1/Threatening2/Threatening3,A/B/C
AnswerDescKor,모이를 주기 결과1/2/3,위협하기 결과1/2/3,. . . 결과1/2/3,발로 차버리기  결과/발로 차버리기  결과2/발로 차버리기  결과3,치우기  결과/치우기  결과2/치우기  결과3,ㄱ/ㄴ/ㄷ,네 잎 클로버를 찾기  결과/네 잎 클로버를 찾기  결과2/네 잎 클로버를 찾기  결과3,밟기  결과/밟기  결과2/밟기  결과3,ㄱ/ㄴ/ㄷ,,,,,,,말걸기결과1/말걸기결과2/말걸기결과3,위협하기결과1위협하기결과2/위협하기결과3,ㄱ/ㄴ/ㄷ
AnswerDescJpn,,,,,,,,,,,,,,,,,,
AnswerNameEng,,,,,,,,,,,,,,,,CatName1/CatName2/CatName3,CatName1/CatName2/CatName3,CatName1/CatName2/CatName3
AnswerNameKor,,,,,,,,,,,,,,,,고양이이름1/고양이이름2/고양이이름2,고양이이름1/고양이이름2/고양이이름2,고양이이름1/고양이이름2/고양이이름2
AnswerNameJpn,,,,,,,,,,,,,,,,,,
NeedObservational,1,0,0,0,0,0,1,0,0,,,,,,,1,0,0
NeedPersuasive,0,0,0,0,2,0,0,0,0,,,,,,,0,0,0
NeedMentalStrength,0,1,0,2,0,0,1,1,0,,,,,,,0,1,0
GetContents,W001,W002,W003,W004,W005,W006,W007,W008,W009,W010,W011,W012,W013,W014,W015,W016,W017,W018
AnswerImgID,,,,,,,,,,,,,,,,CS00/KAS00/CS00,CS00/KAS00/CS00,CS00/KAS00/CS00
AnswerAnimID,,,,,,,,,,,,,,,,CA00/KAA00/CA00,CA00/KAA00/CA00,CA00/KAA00/CA00
