소재 인덱스,소재가 붙을 위치,소재 이름,소재 설명,언어,루트 타입,점수,"기본으로 얻는다면, 얻는 챕터"
,,,,,,,
int,int,int,string,int,eRootType,int,int
Idx_Material,Idx_Reason,Name,Description,Language,RootType,RootPoint,Idx_Chapter
100,108,팬,쿠로가네 아이조는 마린의 초창기 팬이다.,1,A_root,1,1
201,109,인형,버블스는 마린이 가장 좋아하는 인형이다.,1,F_root,1,
202,110,버추얼 스트리머,모리포 마린은 버추얼 스트리머다.,1,A_root,1,
203,110,아이돌,모리포 마린은 아이돌이다.,1,F_root,1,
204,111,매니저,나가사와 이요리는 마린의 매니저다.,1,B_root,2,
205,109,팬덤,버블스는 마린의 팬덤 이름이다.,1,A_root,1,
206,114,클리퍼,???은 마린의 클리퍼이다.,1,A_root,2,
207,114,편집자,???은 마린의 편집자이다.,1,B_root,2,
208,108,스폰서,쿠로가네 아이조는 마린의 스폰서이다.,1,F_root,1,
209,110,디자이너,모리포 마린은 디자이너 일을 했다.,1,F_root,1,
210,109,마스코트,버블스는 마린의 마스코트이다.,1,B_root,1,
